Longitude,Latitude,Date,CMAQ_O3
-108.84451,39.89699,2005-05-22,57.1232
-108.86292,40.00459,2005-05-22,57.2751
-108.88139,40.11217,2005-05-22,58.8094
-108.89992,40.21976,2005-05-22,59.1602
-108.9185,40.32734,2005-05-22,59.1073
-108.93714,40.43491,2005-05-22,56.9748
-108.95584,40.54247,2005-05-22,56.5182
-108.9746,40.65002,2005-05-22,56.3487
-108.99342,40.75756,2005-05-22,56.1517
-109.01229,40.8651,2005-05-22,56.4664
-109.03123,40.97263,2005-05-22,56.637
-109.05022,41.08015,2005-05-22,56.3909
-109.06927,41.18765,2005-05-22,56.1964
-109.08839,41.29515,2005-05-22,56.3923
-109.10757,41.40263,2005-05-22,58.7745
-109.1268,41.51011,2005-05-22,58.7811
-109.1461,41.61757,2005-05-22,58.7386
-109.16545,41.72502,2005-05-22,59.4891
-109.18487,41.83246,2005-05-22,59.5357
-109.20435,41.93988,2005-05-22,59.3184
-109.22389,42.04729,2005-05-22,56.3452
-109.2435,42.15469,2005-05-22,56.2717
-109.26316,42.26208,2005-05-22,56.2218
-109.28289,42.36945,2005-05-22,55.6988
-109.30269,42.4768,2005-05-22,56.2521
-109.32254,42.58414,2005-05-22,57.269
-109.34246,42.69146,2005-05-22,58.9577
-109.36245,42.79876,2005-05-22,59.6059
-109.3825,42.90606,2005-05-22,59.0347
-109.40261,43.01333,2005-05-22,57.6392
-109.42279,43.12058,2005-05-22,56.7791
-109.44303,43.22782,2005-05-22,57.3918
-109.46334,43.33504,2005-05-22,54.9862
-109.48372,43.44224,2005-05-22,54.5425
-109.50416,43.54942,2005-05-22,53.7505
-109.52467,43.65658,2005-05-22,54.2687
-109.54524,43.76372,2005-05-22,57.1643
-109.56589,43.87085,2005-05-22,57.984
-109.58659,43.97794,2005-05-22,55.0139
-109.60738,44.08503,2005-05-22,54.0845
-109.62822,44.19208,2005-05-22,53.6103
-109.64914,44.29912,2005-05-22,52.1873
-109.67012,44.40613,2005-05-22,51.5422
-109.69118,44.51312,2005-05-22,51.7473
-109.7123,44.62009,2005-05-22,51.3199
-109.73349,44.72703,2005-05-22,50.5629
-109.75475,44.83395,2005-05-22,49.9314
-109.77608,44.94085,2005-05-22,50.7076
-109.79749,45.04772,2005-05-22,52.7328
-109.81897,45.15456,2005-05-22,52.7407
-109.84052,45.26138,2005-05-22,52.0813
-109.86214,45.36817,2005-05-22,50.3309
-109.88383,45.47494,2005-05-22,49.9336
-109.90559,45.58168,2005-05-22,49.3698
-109.92744,45.68839,2005-05-22,49.1447
-109.94935,45.79507,2005-05-22,49.1133
-109.97134,45.90173,2005-05-22,48.7599
-109.99339,46.00835,2005-05-22,48.4814
-110.01553,46.11495,2005-05-22,48.5416
-110.03773,46.22152,2005-05-22,48.1643
-110.06002,46.32806,2005-05-22,47.9947
-110.08238,46.43457,2005-05-22,48.2311
-110.10482,46.54104,2005-05-22,47.6851
-110.12733,46.64749,2005-05-22,48.5563
-110.14993,46.7539,2005-05-22,47.5755
-110.17259,46.86028,2005-05-22,46.9797
-110.19534,46.96663,2005-05-22,46.8194
-110.21816,47.07295,2005-05-22,46.7004
-110.24107,47.17923,2005-05-22,46.1343
-110.26405,47.28548,2005-05-22,46.1749
-110.28711,47.3917,2005-05-22,46.3389
-110.31025,47.49788,2005-05-22,46.4838
-110.33347,47.60402,2005-05-22,46.2217
-110.35677,47.71013,2005-05-22,45.8476
-110.38016,47.8162,2005-05-22,45.4163
-110.40362,47.92224,2005-05-22,45.1489
-110.42716,48.02824,2005-05-22,45.0933
-110.45079,48.1342,2005-05-22,44.6795
-110.4745,48.24013,2005-05-22,44.4525
