id,lon,lat,rate,cmaq
108,-108.28392,36.45302,0.612583079592705,59.8724
109,-108.30064,36.56061,0.667052393347084,65.1961
110,-108.31741,36.6682,0.666061986379858,65.0993
111,-108.33423,36.7758,0.666029245653669,65.0961
112,-108.35109,36.8834,0.61817662803261,60.4191
113,-108.36801,36.99101,0.604857291359722,59.1173
114,-108.38498,37.09863,0.595180360475395,58.1715
115,-108.40199,37.20624,0.563836230887601,55.108
116,-108.41906,37.31387,0.554566512785254,54.202
117,-108.43618,37.42149,0.553540295648758,54.1017
118,-108.45335,37.52912,0.549175547588646,53.6751
119,-108.47057,37.63675,0.550697991356448,53.8239
120,-108.48785,37.74438,0.550340912811446,53.789
121,-108.50517,37.85202,0.559001858036211,54.6355
122,-108.52254,37.95966,0.561490153226599,54.8787
123,-108.53998,38.0673,0.561297801460236,54.8599
124,-108.55746,38.17494,0.570234996562224,55.7334
125,-108.575,38.28258,0.58242784762466,56.9251
126,-108.59258,38.39022,0.576117072651671,56.3083
127,-108.61022,38.49786,0.588482835674295,57.5169
128,-108.62791,38.6055,0.590216047866942,57.6863
129,-108.64567,38.71314,0.589681964770979,57.6341
130,-108.66347,38.82078,0.601539223389975,58.793
131,-108.68132,38.92841,0.603913949186393,59.0251
132,-108.69923,39.03605,0.606588457256982,59.2865
133,-108.7172,39.14368,0.610274858396359,59.6468
134,-108.73522,39.2513,0.60131003830665,58.7706
135,-108.7533,39.35893,0.596689503323184,58.319
136,-108.77142,39.46655,0.592775963395868,57.9365
137,-108.78961,39.57417,0.593695773172249,58.0264
138,-108.80785,39.68178,0.59602650361785,58.2542
139,-108.82616,39.78939,0.591273982581934,57.7897
140,-108.84451,39.89699,0.584454703205317,57.1232
141,-108.86292,40.00459,0.586008864551616,57.2751
142,-108.88139,40.11217,0.601707019611695,58.8094
143,-108.89992,40.21976,0.605296221720198,59.1602
144,-108.9185,40.32734,0.604754976590381,59.1073
145,-108.93714,40.43491,0.582936352028288,56.9748
146,-108.95584,40.54247,0.578264659660151,56.5182
147,-108.9746,40.65002,0.576530424319811,56.3487
148,-108.99342,40.75756,0.574514823363782,56.1517
149,-109.01229,40.8651,0.577734669154962,56.4664
150,-109.03123,40.97263,0.579480159119929,56.637
151,-109.05022,41.08015,0.576962192646433,56.3909
152,-109.06927,41.18765,0.574972170382739,56.1964
153,-109.08839,41.29515,0.576976516714141,56.3923
154,-109.10757,41.40263,0.601349941066693,58.7745
155,-109.1268,41.51011,0.601417468814458,58.7811
156,-109.1461,41.61757,0.600982631044757,58.7386
157,-109.16545,41.72502,0.608661354483843,59.4891
158,-109.18487,41.83246,0.609138141308974,59.5357
159,-109.20435,41.93988,0.606914841371182,59.3184
160,-109.22389,42.04729,0.576494614150542,56.3452
161,-109.2435,42.15469,0.575742600595881,56.2717
162,-109.26316,42.26208,0.575232049896867,56.2218
163,-109.28289,42.36945,0.569880987460302,55.6988
164,-109.30269,42.4768,0.575542063647972,56.2521
165,-109.32254,42.58414,0.585946452542317,57.269
