Nervous.System,lat,lon
0.0530404500401822,31.2153793790001,-85.36146588
0.0866650111745716,34.2213345550001,-86.1593751469999
0.00874426605504587,34.7950396050001,-87.6850748539999
0,31.2921595230001,-86.2553990219999
0,31.693116349,-86.26549483
0.121438082556591,34.4406075910001,-85.757267607
0.0154974401549744,33.2544293220001,-86.814079334
0,33.50314015,-86.8024285829999
0.141500821617674,34.7464308950001,-87.6989350279999
0.180194805194805,31.4513507130001,-85.630942937
0.176895306859206,34.162750209,-85.643489793
0.0379310344827586,32.3271860580001,-86.276590611
0.0665972944849116,32.3665811820001,-86.28577144
0.157808667211774,32.638088059,-85.404452728
0,33.311550578,-85.4849769739999
0.00294912754976653,33.509023244,-86.7997285449999
0.0380848748639826,32.5349277760001,-85.9098537519999
0.263623211702299,34.198596067,-86.8040484589999
0.0459830866807611,31.297978657,-86.494814348
0.0350577169730654,33.667678057,-85.83426679
0.437557790381774,34.721080618,-86.581285158
0.1757855416392,34.0093802420001,-85.9677883909999
0.0205338809034908,33.707696184,-87.823775363
0.00233228152009878,34.003378506,-86.004091091
0.0609919571045576,31.318719619,-85.8557277689999
0.187042558959067,34.575749027,-87.016545688
0.20831037143172,31.2358267700001,-85.457213408
0.325455311085377,33.5079732560001,-86.788747639
0,34.4829459750001,-87.286002836
0.0395209580838323,34.661682641,-86.0467320829999
0,31.048047469,-85.891125867
0.0856937970598781,32.9313349500001,-85.9687884539999
0.0360576923076923,31.8880182770001,-85.1560610989999
0,33.276658905,-85.8236116959999
0.0466396761133603,33.657075605,-85.8234570069999
0.069284064665127,34.8035777870001,-86.9783764009999
0.0863531995607467,30.4256804710001,-87.6832421189999
0.0123175182481752,34.591155547,-86.972639268
0.00425253516519463,33.92936502,-87.8246374679999
0.0241691842900302,30.70815314,-88.098995768
0.389263227659339,33.841048738,-87.236555986
0.187928221859706,30.6820891260001,-88.199242462
0,31.6947771150001,-87.7770749379999
0.206254510464277,33.2061733640001,-87.5254832159999
0.012987012987013,32.5522675550001,-86.187036242
0.0150753768844221,31.127213651,-87.072478399
0.297007682976142,30.519966314,-87.889508043
0.165924984106802,33.4398093610001,-86.090878575
0.161438728565454,33.4991663660001,-86.845895056
0.235133287764867,33.515335184,-86.7467054849999
0.000851426138782461,32.4641995150001,-86.450952768
0,33.274750813,-88.0896471619999
0.0703883495145631,32.503647883,-87.837054457
0.338644410723318,30.6954583840001,-88.0808547349999
0.112709426298866,33.3730148540001,-86.991743852
